Family_Name,Macroarea,languages_count
Atlantic-Congo,Africa,423
Pama-Nyungan,Australia,243
Indo-European,Eurasia,131
Austronesian,Papunesia,107
Afro-Asiatic,Africa,100
Sino-Tibetan,Eurasia,98
Tupian,South America,50
Mande,Africa,43
Arawakan,South America,42
Austroasiatic,Eurasia,40
Dravidian,Eurasia,33
Uralic,Eurasia,31
Nuclear Trans New Guinea,Papunesia,30
Nilotic,Africa,28
Cariban,South America,24
Pano-Tacanan,South America,24
Quechuan,South America,23
Central Sudanic,Africa,22
Turkic,Eurasia,21
Nuclear-Macro-Je,South America,20
Tucanoan,South America,19
Tai-Kadai,Eurasia,19
Otomanguean,North America,17
Uto-Aztecan,North America,15
Gunwinyguan,Australia,14
Nakh-Daghestanian,Eurasia,13
Mongolic,Eurasia,12
Mayan,North America,12
Salishan,North America,11
Indo-European,Africa,11
Athabaskan-Eyak-Tlingit,North America,10
Nyulnyulan,Australia,10
Ta-Ne-Omotic,Africa,10
Chibchan,South America,8
Afro-Asiatic,Eurasia,8
Worrorran,Australia,8
Mirndi,Australia,8
Sepik,Papunesia,7
Kadugli-Krongo,Africa,7
Ijoid,Africa,6
Chocoan,South America,6
Heibanic,Africa,6
Western Daly,Australia,6
Austronesian,Eurasia,6
Mixe-Zoque,North America,6
Algic,North America,6
Nuclear Torricelli,Papunesia,6
Guaicuruan,South America,5
Nambiquaran,South America,5
Narrow Talodi,Africa,5
Surmic,Africa,5
Kiowa-Tanoan,North America,5
Tungusic,Eurasia,5
Iwaidjan Proper,Australia,5
Arawan,South America,5
Maningrida,Australia,4
Iroquoian,North America,4
Matacoan,South America,4
Mangarrayi-Maran,Australia,4
Koman,Africa,4
Indo-European,North America,4
Huitotoan,South America,4
Zaparoan,South America,4
Guahiboan,South America,4
Chicham,South America,4
Yanomamic,South America,4
Barbacoan,South America,4
Muskogean,North America,4
Songhay,Africa,4
Saharan,Africa,4
Chukotko-Kamchatkan,Eurasia,4
Nadahup,South America,4
Kartvelian,Eurasia,4
Siouan,North America,3
Sko,Papunesia,3
South Omotic,Africa,3
Kuliak,Africa,3
Southern Daly,Australia,3
Tangkic,Australia,3
Totonacan,North America,3
Ndu,Papunesia,3
Khoe-Kwadi,Africa,3
Abkhaz-Adyge,Eurasia,3
Border,Papunesia,3
Japonic,Eurasia,3
Eskimo-Aleut,Eurasia,3
Jodi-Saliban,South America,3
Chibchan,North America,3
Boran,South America,3
Bookkeeping,Eurasia,3
Bookkeeping,Australia,3
Giimbiyu,Australia,3
Tsimshian,North America,2
Timor-Alor-Pantar,Papunesia,2
Eskimo-Aleut,North America,2
Zamucoan,South America,2
North Halmahera,Papunesia,2
Nyimang,Africa,2
Dogon,Africa,2
Cochimi-Yuman,North America,2
Yuki-Wappo,North America,2
Pomoan,North America,2
Chonan,South America,2
Yukaghir,Eurasia,2
Chapacuran,South America,2
Cahuapanan,South America,2
Caddoan,North America,2
Bunaban,Australia,2
Bororoan,South America,2
Garrwan,Australia,2
Yangmanic,Australia,2
Wakashan,North America,2
Uru-Chipaya,South America,2
Aymaran,South America,2
Temeinic,Africa,2
Kakua-Nukak,South America,2
Peba-Yagua,South America,2
Kresh-Aja,Africa,2
Hmong-Mien,Eurasia,2
Miwok-Costanoan,North America,2
Jarrakan,Australia,2
Marrku-Wurrugu,Australia,2
Maban,Africa,2
Indo-European,South America,2
Kxa,Africa,2
Tamaic,Africa,1
Tarascan,North America,1
Baining,Papunesia,1
Koreanic,Eurasia,1
Ticuna-Yuri,South America,1
Konda-Yahadian,Papunesia,1
Bookkeeping,Africa,1
Jarawa-Onge,Eurasia,1
Blue Nile Mao,Africa,1
Basque,Eurasia,1
Bookkeeping,South America,1
Teberan,Papunesia,1
Tuu,Africa,1
Kolopom,Papunesia,1
Ainu,Eurasia,1
Kawesqar,South America,1
Keresan,North America,1
Jicaquean,North America,1
Yeniseian,Eurasia,1
Yawa-Saweru,Papunesia,1
Yareban,Papunesia,1
Angan,Papunesia,1
Unclassifiable,South America,1
Wintuan,North America,1
Araucanian,South America,1
Kiwaian,Papunesia,1
Arawakan,North America,1
Koiarian,Papunesia,1
Austronesian,Africa,1
Limilngan-Wulna,Australia,1
Furan,Africa,1
Maiduan,North America,1
Eastern Jebel,Africa,1
Palaihnihan,North America,1
Dizoid,Africa,1
Gumuz,Africa,1
Mixed Language,North America,1
East Strickland,Papunesia,1
Eastern Daly,Australia,1
Nubian,Africa,1
Goilalan,Papunesia,1
Northern Daly,Australia,1
Mixed Language,South America,1
North Bougainville,Papunesia,1
Nimboranic,Papunesia,1
Eleman,Papunesia,1
Great Andamanese,Eurasia,1
Dajuic,Africa,1
Pama-Nyungan,Papunesia,1
Misumalpan,North America,1
Pidgin,Africa,1
Haida,North America,1
Puri-Coroado,South America,1
Chumashan,North America,1
Sahaptian,North America,1
Harakmbut,South America,1
Chimakuan,North America,1
Senagi,Papunesia,1
Sentanic,Papunesia,1
Hibito-Cholon,South America,1
Shastan,North America,1
Huavean,North America,1
Indo-European,Papunesia,1
South Bird's Head Family,Papunesia,1
South Bougainville,Papunesia,1
