семья,ареал,languages_count
Austronesian,Papunesia,28
Arawak,South America,17
Tupí,South America,15
Isolate,South America,10
Macro-Ge,South America,8
Panoan,South America,8
Tucanoan,South America,6
Mayan,North America,6
Carib,South America,6
Trans New Guinea,Papunesia,5
Quechua,South America,5
Na-Dene,North America,4
Guahiban,South America,4
Sko,Papunesia,3
Guaicuru,South America,3
Muskogean,North America,3
Chibchan,North America,3
Tacanan,South America,3
Arawan,South America,3
Salivan,South America,2
South Bougainville,Papunesia,2
Oto-Manguean,North America,2
Algic,North America,2
Mosetenan,South America,2
Chibchan,South America,2
Mura,South America,1
Oregon Coast,North America,1
Witotoan,South America,1
Uto-Aztecan,North America,1
Austronesian,Eurasia,1
Barbacoan,South America,1
Border,Papunesia,1
Caddoan,North America,1
Choco,South America,1
Siouan,North America,1
Sepik,Papunesia,1
Isolate,Papunesia,1
Salishan,North America,1
Katukinan,South America,1
Koiarian,Papunesia,1
Lakes Plain,Papunesia,1
Yeniseian,Eurasia,1
