язык,семья,ареал,p,t,k,b,d,g,сколько взрывных фонем,литература,комментарии
Abau,Sepik,Papunesia,1,0,1,0,0,0,2,,
Abenaki (Western),Algic,North America,1,1,1,1,1,1,6,https://escholarship.mcgill.ca/downloads/j67315387,
Abipon,Guaicuru,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Abipon.html,
Achagua,Arawak,South America,1,1,1,1,1,0,5,https://linguistics.berkeley.edu/saphon/en/inv/Achagua.html,
Achi,Mayan,North America,1,1,1,0,0,0,3,http://biblioteca.usac.edu.gt/tesis/07/07_2006.pdf,
Achuar-Shiwiar,Jivaroan,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Achuar.html,
Achumawi,Hokan,North America,1,1,1,1,1,1,6,https://www.jstor.org/stable/pdf/1263305.pdf,
Acoma,Keresan,North America,1,1,1,1,1,1,6,https://theswissbay.ch/pdf/Books/Linguistics/Mega%20linguistics%20pack/North%20American/Tanoan%20%26%20Keresan/Acoma%20Grammar%20and%20Texts%20%28Miller%29.pdf,
Adnyamathanha,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Adzera,Austronesian,Papunesia,0,0,0,1,1,1,3,,
Aguacateco,Mayan,North America,1,1,1,0,0,0,3,Awakatek language and alphabet,
Aguaruna,Jivaroan,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Aguaruna.html,
Ahtna,Na-Dene,North America,1,1,1,0,0,0,3,"Ahtna language, alphabet and pronunciation",
Aikanã,Isolate,South America,1,1,1,1,1,0,5,https://linguistics.berkeley.edu/saphon/en/inv/Aikana.html,
Ainu,Ainu,Eurasia,1,1,1,0,0,0,3,https://scholarspace.manoa.hawaii.edu/server/api/core/bitstreams/911cd102-b5a2-4a08-8649-121f5bb78fc2/content,
Akuntsú,Tupí,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Akuntsu.html,
Akurio,Carib,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Akurio.html,
Alabama,Muskogean,North America,1,1,1,1,0,0,4,https://www.journals.uchicago.edu/doi/pdf/10.1086/465002?download=true,
Alacalufe,Alacalufan,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/AlacalufeC.html,
Alamblak,Sepik,Papunesia,1,1,1,1,1,1,6,,все глухие только аспирированные
Alawa,Mangarrayi-Maran,Australia,1,1,1,0,0,0,3,mb nd ŋɡ ɳɖ,
Aleut (Western),Eskimo-Aleut,North America,0,1,1,0,0,0,2,Phonetic structures of Aleut,t∫
Algonquin ,Algic,North America,1,1,1,1,1,1,6,"Algonquin Pronunciation Guide, Alphabet and Phonology (Algonkin)",
Alsea,Oregon Coast,North America,1,1,1,1,1,1,6,"Alsea Pronunciation Guide, Alphabet and Phonology (Alcea)",
Alyawarra,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Amahuaca,Panoan,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Amahuaca.html,
Amanab,Border,Papunesia,1,1,1,1,0,1,5,,
Amarakaeri,Harakmbet,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Amarakaeri.html,есть /mb/ /ŋg/ /nd/
Amundava,Tupí,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Amundava.html,
Amuzgo,Oto-Manguean,North America,1,1,1,1,1,1,6,"Amuzgo Pronunciation Guide, Alphabet and Phonology",
Ancash Quechua,Quechua,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/AncashQ.html,
Andoa,Zaparoan,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Andoa.html,
Andoke,Isolate,South America,1,1,1,1,1,0,5,https://linguistics.berkeley.edu/saphon/en/inv/Andoke.html,
Aneityum,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Angaataha,Angan,Papunesia,1,1,1,0,0,0,3,,
Anguthimri,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Anindilyakwa,Gunwinyguan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Ao,Sino-Tibetan,Eurasia,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/phonlab/documents/2009/dwbruhn_Ao-paper_UC-PhonLab.pdf,
Apache (Chiricahua),Na-Dene,North America,0,1,1,1,1,1,5,Chiricahua-MescaleroNdee1.pdf,"not t -- but t(h), t', tˤ, not k -- but k(h), kˤ"
Apache (Jicarilla),Na-Dene,North America,1,1,1,0,1,0,4,Jicarilla Apache,
Apache (Western),Na-Dene,North America,1,1,1,0,0,0,3,Phonetic Structures of Western Apache on JSTOR,
Apalaí,Carib,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Apalai.html,
Apiaká,Tupí,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Apiaka.html,
Apinayé,Macro-Ge,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Apinaye.html,/mb/ /nd/
Apurinã,Arawak,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Apurina.html,
Arabana,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Arabela,Zaparoan,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Arabela.html,
Arandai,South Bird's Head,Papunesia,1,1,1,1,1,1,6,,
Araona,Tacanan,South America,1,1,1,1,1,0,5,https://linguistics.berkeley.edu/saphon/en/inv/Araona.html,
Arapaho,Algic,North America,0,1,1,1,0,0,3,,
Arara do Acre,Panoan,South America,1,1,1,1,1,0,5,https://linguistics.berkeley.edu/saphon/en/inv/Shawa.html,
Araweté,Tupí,South America,1,1,1,0,1,0,4,https://linguistics.berkeley.edu/saphon/en/inv/Arawete.html,
Arikapú,Macro-Ge,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Arikapu.html,
Arikara,Na-Dene,North America,1,1,1,0,0,0,3,"Arikara Pronunciation Guide, Alphabet and Phonology",
Asháninka,Arawak,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Ashaninka.html,
Asmat,Trans New Guinea,Papunesia,1,1,1,1,1,0,5,https://library.oapen.org/bitstream/handle/20.500.12657/32243/1/613367.pdf,данные только по одному диалекту!
Asuriní do Tocantins,Tupí,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/AsuriniT.html,
Asurini do Xingú,Tupí,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/AsuriniX.html,
Atakapa,Atakapa,North America,1,1,1,1,1,1,6,"Atakapa Pronunciation Guide, Alphabet and Phonology",
Atayal,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Atikamekw ,Algic,North America,1,1,1,1,1,0,5,"Atikamekw Pronunciation Guide, Alphabet and Phonology",
Atsugewi,Hokan,North America,1,1,1,0,0,0,3,"Atsugewi Pronunciation Guide, Alphabet and Phonology (Atsuge)",
Auishiri,Isolate,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Aiwa.html,
Avá-Canoeiro,Tupí,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/AvaCanoeiro.html,
Awa Pit,Barbacoan,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/AwaCuaiquer.html,
Awetí,Tupí,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Aweti.html,
Awtuw,Sepik,Papunesia,1,1,1,0,1,0,4,,все глухие только аспирированные
Ayacucho Quechua,Quechua,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/AyacuchoQ.html,
Aymara,Aymaran,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/AymaraC.html,
Badimaya,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Bandjalang,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Banggarla,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Baniwa,Arawak,South America,1,1,1,1,1,0,5,https://linguistics.berkeley.edu/saphon/en/inv/BaniwaS.html,
Barasano,Tucanoan,South America,0,1,1,1,1,1,5,,
Bardi,Nyulnyulan,Australia,1,1,1,0,0,0,3,,
Barí,Chibchan,South America,0,1,1,1,1,0,4,https://linguistics.berkeley.edu/saphon/en/inv/Bari.html,
Baure,Arawak,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Baure.html,
Bayungu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Bella Coola,Salishan,North America,1,1,1,0,0,0,3,Bella coola phonology - ScienceDirect,
Bésɨro,Macro-Ge,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Besiro.html,
Biak,Austronesian,Papunesia,1,1,1,1,1,0,5,,
Bilinarra,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Biloxi,Siouan,North America,1,1,1,0,1,1,5,"Biloxi Pronunciation Guide, Alphabet and Phonology",
Bininj Gun-Wok,Gunwinyguan,Australia,0,0,0,1,1,1,3,d̪,
Biri,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Blackfoot,Algic,North America,1,1,1,0,0,0,3,A Sketch of Blackfoot Historical Phonology on JSTOR,
Bolivian Quechua,Quechua,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/BolivianQ.html,
Bora,Boran,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Bora.html,
Border Kuna,Chibchan,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Kuna.html,
Boruca,Chibchan,North America,0,1,1,1,1,1,5,"Boruca Pronunciation Guide, Alphabet and Phonology (Brunka)",
Bribri,Chibchan,North America,1,1,1,1,1,0,5,"Bribri Pronunciation Guide, Alphabet and Phonology",
Buglere,Chibchan,North America,0,1,1,1,1,1,5,"Buglere Pronunciation Guide, Alphabet and Phonology (Bugle)",
Bularnu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Bunuba,Bunaban,Australia,1,1,1,0,0,0,3,,
Buol,Austronesian,Papunesia,1,0,1,1,1,1,5,,
Burarra,Maningrida,Australia,1,1,1,0,0,0,3,,
Cabecar,Chibchan,North America,1,1,1,1,1,1,6,"Cabecar Pronunciation Guide, Alphabet and Phonology",
Cabiyarí,Arawak,South America,1,1,1,0,1,0,4,https://linguistics.berkeley.edu/saphon/en/inv/Cabiyari.html,
Cacua,Nilotic,Africa,1,1,1,0,0,0,3,,
Caddo,Caddoan,North America,1,1,1,1,1,0,5,"Caddo Pronunciation Guide, Alphabet and Phonology",
Cahuilla,Uto-Aztecan,North America,1,1,1,0,0,0,3,"Cahuilla Pronunciation Guide, Alphabet and Phonology",
Cajamarca Quechua,Quechua,South America,1,1,1,0,0,0,3,,
Cakchiquel ,Mayan,North America,1,1,1,1,0,0,4,"Kaqchikel Maya Pronunciation Guide, Alphabet and Phonology (Cakchiquel)",
