wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	2	Moderately small	-29.0	-61.0	Abipon	Guaicuruan	Phonology
acm	Achumawi	2	Moderately small	41.5	-121.0	Achumawi	Hokan	Phonology
ach	Aché	1	Small	-25.25	-55.1666666667	Maweti-Guarani	Tupian	Phonology
adz	Adzera	2	Moderately small	-6.25	146.25	Oceanic	Austronesian	Phonology
ain	Ainu	1	Small	43.0	143.0	Ainu	Ainu	Phonology
akw	Akawaio	1	Small	6.0	-59.5	Cariban	Cariban	Phonology
abm	Alabama	1	Small	32.3333333333	-87.4166666667	Muskogean	Muskogean	Phonology
ala	Alamblak	2	Moderately small	-4.66666666667	143.333333333	Sepik Hill	Sepik	Phonology
amc	Amahuaca	1	Small	-10.5	-72.5	Panoan	Pano-Tacanan	Phonology
ame	Amele	2	Moderately small	-5.25	145.583333333	Mabuso	Trans-New Guinea	Phonology
adk	Andoke	1	Small	-0.666666666667	-72.0	Andoke	Andoke	Phonology
ant	Angaataha	1	Small	-7.21666666667	146.25	Angaataha	Trans-New Guinea	Phonology
ao	Ao	1	Small	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Phonology
api	Apinayé	1	Small	-5.5	-48.0	Je Setentrional	Macro-Ge	Phonology
apu	Apurinã	1	Small	-9.0	-67.0	Purus	Arawakan	Phonology
arb	Arabela	1	Small	-2.0	-75.1666666667	Zaparoan	Zaparoan	Phonology
arp	Arapesh (Mountain)	2	Moderately small	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Phonology
asm	Asmat	1	Small	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Phonology
awp	Awa Pit	1	Small	1.5	-78.25	Barbacoan	Barbacoan	Phonology
bai	Bai	2	Moderately small	26.0	100.0	Macro-Bai	Sino-Tibetan	Phonology
bki	Bakairí	2	Moderately small	-14.0	-55.0	Cariban	Cariban	Phonology
byu	Bandjalang (Yugumbir)	1	Small	-27.9166666667	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
brd	Bardi	2	Moderately small	-16.5833333333	122.916666667	Nyulnyulan	Nyulnyulan	Phonology
brb	Bariba	2	Moderately small	10.0	2.5	Baatonum	Niger-Congo	Phonology
bkr	Batak (Karo)	2	Moderately small	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Phonology
bto	Batak (Toba)	2	Moderately small	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Phonology
bee	Beembe	2	Moderately small	-3.91666666667	14.0833333333	Bantu	Niger-Congo	Phonology
bis	Bisa	2	Moderately small	11.5	-0.5	Eastern Mande	Mande	Phonology
bod	Bodo	2	Moderately small	26.8333333333	92.0	Brahmaputran	Sino-Tibetan	Phonology
brr	Bororo	1	Small	-16.0	-57.0	Bororoan	Bororoan	Phonology
bri	Bribri	2	Moderately small	9.41666666667	-83.0	Western Isthmic Chibchan	Chibchan	Phonology
bua	Burarra	2	Moderately small	-12.25	134.583333333	Burarran	Mangrida	Phonology
cac	Cacua	1	Small	1.08333333333	-70.0	Cacua-Nukak	Cacua-Nukak	Phonology
cax	Campa (Axininca)	2	Moderately small	-12.0	-74.0	Pre-Andine Arawakan	Arawakan	Phonology
cnl	Canela	1	Small	-7.0	-45.0	Je Setentrional	Macro-Ge	Phonology
car	Carib	2	Moderately small	5.5	-56.0	Cariban	Cariban	Phonology
cyv	Cayuvava	2	Moderately small	-13.5	-65.5	Cayuvava	Cayuvava	Phonology
cso	Chatino (Sierra Occidental)	2	Moderately small	16.25	-97.3333333333	Zapotecan	Oto-Manguean	Phonology
che	Cherokee	1	Small	35.5	-83.5	Southern Iroquoian	Iroquoian	Phonology
cck	Chickasaw	2	Moderately small	34.0	-88.0	Muskogean	Muskogean	Phonology
cve	Chuave	1	Small	-6.11666666667	145.116666667	Chimbu-Wahgi	Trans-New Guinea	Phonology
chk	Chukchi	2	Moderately small	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
